"Label (Grouping)","Puerto Rico!!Total!!Estimate","Puerto Rico!!Total!!Margin of Error","Puerto Rico!!65 years and over!!Estimate","Puerto Rico!!65 years and over!!Margin of Error"
"Total population","3,272,382","*****","722,934","*****"
"    SEX AND AGE","","","",""
"        Male","47.4%","±0.1","43.2%","*****"
"        Female","52.6%","±0.1","56.8%","*****"
"        Median age (years)","43.7","±0.2","74.4","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","",""
"        One race","76.7%","±0.3","75.3%","±0.4"
"            White","43.6%","±0.3","45.1%","±0.5"
"            Black or African American","8.8%","±0.2","8.6%","±0.3"
"            American Indian and Alaska Native","0.2%","±0.1","0.2%","±0.1"
"            Asian","0.2%","±0.1","0.1%","±0.1"
"            Native Hawaiian and Other Pacific Islander","0.0%","±0.1","0.0%","±0.1"
"            Some other race","24.0%","±0.3","21.3%","±0.4"
"        Two or more races","23.3%","±0.3","24.7%","±0.4"
"        Hispanic or Latino origin (of any race)","98.7%","±0.1","99.0%","±0.1"
"        White alone, not Hispanic or Latino","0.8%","±0.1","0.7%","±0.1"
"RELATIONSHIP","","","",""
"    Population in households","3,235,210","*****","707,620","±672"
"        Householder or spouse","51.3%","±0.2","84.9%","±0.4"
"        Parent","1.7%","±0.1","5.9%","±0.3"
"        Other relatives","42.1%","±0.2","6.6%","±0.3"
"        Nonrelatives","4.9%","±0.1","2.7%","±0.1"
"            Unmarried partner","3.9%","±0.1","1.7%","±0.1"
"HOUSEHOLDS BY TYPE","","","",""
"    Households","1,219,658","±4,757","449,468","±2,866"
"        Family households","65.3%","±0.3","55.8%","±0.5"
"            Married-couple family","36.1%","±0.3","36.4%","±0.5"
"            Female householder, no spouse present, family","22.5%","±0.3","15.2%","±0.3"
"        Nonfamily households","34.7%","±0.3","44.2%","±0.5"
"            Householder living alone","29.8%","±0.3","41.0%","±0.5"
"MARITAL STATUS","","","",""
"    Population 15 years and over","2,823,634","*****","722,934","*****"
"        Now married, except separated","34.6%","±0.3","46.5%","±0.5"
"        Widowed","7.8%","±0.1","25.3%","±0.4"
"        Divorced","13.7%","±0.2","15.7%","±0.3"
"        Separated","2.2%","±0.1","1.9%","±0.1"
"        Never married","41.7%","±0.2","10.5%","±0.3"
"EDUCATIONAL ATTAINMENT","","","",""
"    Population 25 years and over","2,400,393","±555","722,934","*****"
"        Less than high school graduate","20.5%","±0.2","38.7%","±0.4"
"        High school graduate, GED, or alternative","28.0%","±0.3","28.6%","±0.4"
"        Some college or associate's degree","23.2%","±0.3","13.6%","±0.3"
"        Bachelor's degree or higher","28.3%","±0.3","19.1%","±0.3"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","","","",""
"    Population 30 years and over","2,178,055","*****","722,934","*****"
"        Living with grandchild(ren)","3.3%","±0.1","4.2%","±0.2"
"            Responsible for grandchild(ren)","1.1%","±0.1","1.2%","±0.1"
"VETERAN STATUS","","","",""
"    Civilian population 18 years and over","2,703,017","±591","722,934","±18"
"        Civilian veteran","2.6%","±0.1","6.3%","±0.2"
"DISABILITY STATUS","","","",""
"    Civilian noninstitutionalized population","3,244,866","±595","713,722","±493"
"        With any disability","22.3%","±0.2","48.1%","±0.4"
"        No disability","77.7%","±0.2","51.9%","±0.4"
"RESIDENCE 1 YEAR AGO","","","",""
"    Population 1 year and over","3,254,093","±1,079","722,934","±18"
"        Same house","93.4%","±0.2","96.7%","±0.1"
"        Different house in Puerto Rico or the United States","6.5%","±0.2","3.3%","±0.1"
"            In Puerto Rico","5.7%","±0.2","2.8%","±0.1"
"                Same municipio","3.5%","±0.1","2.0%","±0.1"
"                Different municipio","2.2%","±0.1","0.9%","±0.1"
"            In the United States","0.8%","±0.1","0.4%","±0.1"
"        Elsewhere","0.1%","±0.1","0.1%","±0.1"
"PLACE OF BIRTH, NATIVITY AND CITIZENSHIP STATUS, AND YEAR OF ENTRY","","","",""
"    Total population","3,272,382","*****","722,934","*****"
"        Native","3,182,921","±3,137","698,065","±1,166"
"        Foreign born","89,461","±3,137","24,869","±1,168"
"            Entered  2010 or later","26.0%","±1.3","8.3%","±1.4"
"            Entered  2000 to 2009","19.5%","±1.4","7.7%","±1.2"
"            Entered  before 2000","54.5%","±1.5","84.0%","±1.7"
"            Naturalized U.S. citizen","49.8%","±1.4","73.5%","±2.1"
"            Not a U.S. citizen","50.2%","±1.4","26.5%","±2.1"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","",""
"    Population 5 years and over","3,159,505","±224","722,934","*****"
"        English only","5.0%","±0.2","7.2%","±0.2"
"        Language other than English","95.0%","±0.2","92.8%","±0.2"
"            Speak English less than ""very well""","75.6%","±0.3","81.4%","±0.4"
"EMPLOYMENT STATUS","","","",""
"    Civilian population 16 years and over","2,782,720","±1,444","722,934","±18"
"        In labor force","44.8%","±0.2","7.1%","±0.2"
"            Employed","38.9%","±0.3","6.8%","±0.2"
"            Unemployed","6.0%","±0.1","0.3%","±0.1"
"                Percent of civilian labor force","13.3%","±0.3","4.6%","±0.6"
"        Not in labor force","55.2%","±0.2","92.9%","±0.2"
"INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","","","",""
"    Households","1,219,658","±4,757","449,468","±2,866"
"        With earnings","55.9%","±0.3","24.6%","±0.4"
"            Mean earnings (dollars)","45,180","±631","37,199","±1,422"
"        With Social Security income","46.0%","±0.2","87.4%","±0.3"
"            Mean Social Security income (dollars)","15,158","±91","15,592","±111"
"        With Supplemental Security Income","0.4%","±0.1","0.7%","±0.1"
"            Mean Supplemental Security Income (dollars)","11,503","±628","10,806","±713"
"        With cash public assistance income","5.2%","±0.1","5.9%","±0.2"
"            Mean cash public assistance income (dollars)","2,824","±83","2,326","±131"
"        With retirement income","17.2%","±0.3","32.2%","±0.6"
"            Mean retirement income (dollars)","19,714","±466","19,169","±558"
"        With Food Stamp/SNAP benefits","45.9%","±0.3","45.7%","±0.5"
"POVERTY STATUS IN THE PAST 12 MONTHS","","","",""
"    Population for whom poverty status is determined","3,242,916","±568","713,722","±493"
"        Below 100 percent of the poverty level","42.2%","±0.4","38.8%","±0.4"
"        100 to 149 percent of the poverty level","16.9%","±0.3","20.2%","±0.4"
"        At or above 150 percent of the poverty level","40.9%","±0.4","40.9%","±0.4"
"Occupied housing units","1,219,658","±4,757","449,468","±2,866"
"    HOUSING TENURE","","","",""
"        Owner-occupied housing units","68.0%","±0.3","81.4%","±0.4"
"        Renter-occupied housing units","32.0%","±0.3","18.6%","±0.4"
"        Average household size of owner-occupied unit","2.72","±0.01","2.32","±0.02"
"        Average household size of renter-occupied unit","2.52","±0.02","1.75","±0.03"
"    SELECTED CHARACTERISTICS","","","",""
"        No telephone service available","3.0%","±0.1","4.8%","±0.3"
"        1.01 or more occupants per room","2.4%","±0.1","1.1%","±0.1"
"Owner-occupied housing units","829,943","±4,692","365,917","±2,888"
"    SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","",""
"        Less than 30 percent","78.9%","±0.3","81.2%","±0.5"
"        30 percent or more","21.1%","±0.3","18.8%","±0.5"
"    OWNER CHARACTERISTICS","","","",""
"        Median value (dollars)","121,800","±506","116,800","±696"
"        Median selected monthly owner costs with a mortgage (dollars)","935","±6","882","±13"
"        Median selected monthly owner costs without a mortgage (dollars)","170","±2","159","±2"
"Renter-occupied housing units","389,715","±3,837","83,551","±2,003"
"    GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","","","",""
"        Less than 30 percent","70.5%","±0.6","72.9%","±1.0"
"        30 percent or more","29.5%","±0.6","27.1%","±1.0"
"    GROSS RENT","","","",""
"        Median gross rent (dollars)","545","±5","425","±9"
